id,league,season,venue,referee,home_team,away_team,date,timezone,half_time_score_home,half_time_score_away,half_time_winner,full_time_score_home,full_time_score_away,full_time_winner
867946,39,2022,525,A. Taylor,52,42,2022-08-05T13:00:00-06:00,America/Costa_Rica,0,1,away,0,2,away
867947,39,2022,535,A. Madley,36,40,2022-08-06T05:30:00-06:00,America/Costa_Rica,1,0,home,2,2,tie
867951,39,2022,562,S. Hooper,34,65,2022-08-06T08:00:00-06:00,America/Costa_Rica,0,0,tie,2,0,home
867948,39,2022,504,P. Bankes,35,66,2022-08-06T08:00:00-06:00,America/Costa_Rica,1,0,home,2,0,home
867952,39,2022,593,A. Marriner,47,41,2022-08-06T08:00:00-06:00,America/Costa_Rica,2,1,home,4,1,home
867949,39,2022,546,R. Jones,63,39,2022-08-06T08:00:00-06:00,America/Costa_Rica,1,1,tie,2,1,home
867953,39,2022,8560,C. Pawson,45,49,2022-08-06T10:30:00-06:00,America/Costa_Rica,0,1,away,0,1,away
867954,39,2022,556,P. Tierney,33,51,2022-08-07T07:00:00-06:00,America/Costa_Rica,0,2,away,1,2,away
867950,39,2022,547,J. Gillett,46,55,2022-08-07T07:00:00-06:00,America/Costa_Rica,1,0,home,2,2,tie
867955,39,2022,598,M. Oliver,48,50,2022-08-07T09:30:00-06:00,America/Costa_Rica,0,1,away,0,2,away
867957,39,2022,495,M. Oliver,66,45,2022-08-13T05:30:00-06:00,America/Costa_Rica,1,0,home,2,1,home
867965,39,2022,600,J. Brooks,39,36,2022-08-13T08:00:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
867964,39,2022,585,T. Harrington,41,63,2022-08-13T08:00:00-06:00,America/Costa_Rica,0,0,tie,2,2,tie
867956,39,2022,494,D. England,42,46,2022-08-13T08:00:00-06:00,America/Costa_Rica,2,0,home,4,2,home
867962,39,2022,555,D. Coote,50,35,2022-08-13T08:00:00-06:00,America/Costa_Rica,3,0,home,4,0,home
867959,39,2022,508,G. Scott,51,34,2022-08-13T08:00:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
867958,39,2022,10503,S. Attwell,55,33,2022-08-13T10:30:00-06:00,America/Costa_Rica,4,0,home,4,0,home
867963,39,2022,566,R. Jones,65,48,2022-08-14T07:00:00-06:00,America/Costa_Rica,1,0,home,1,0,home
867960,39,2022,519,A. Taylor,49,47,2022-08-14T09:30:00-06:00,America/Costa_Rica,1,0,home,2,2,tie
867961,39,2022,550,P. Tierney,40,52,2022-08-15T13:00:00-06:00,America/Costa_Rica,0,1,away,1,1,tie
867974,39,2022,593,S. Hooper,47,39,2022-08-20T05:30:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
867969,39,2022,535,P. Bankes,36,55,2022-08-20T08:00:00-06:00,America/Costa_Rica,2,1,home,3,2,home
867968,39,2022,8560,A. Marriner,45,65,2022-08-20T08:00:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
867971,39,2022,547,M. Salisbury,46,41,2022-08-20T08:00:00-06:00,America/Costa_Rica,0,0,tie,1,2,away
867967,39,2022,525,A. Madley,52,66,2022-08-20T08:00:00-06:00,America/Costa_Rica,1,1,tie,3,1,home
867966,39,2022,504,C. Pawson,35,42,2022-08-20T10:30:00-06:00,America/Costa_Rica,0,2,away,0,3,away
867975,39,2022,598,A. Taylor,48,51,2022-08-21T07:00:00-06:00,America/Costa_Rica,0,1,away,0,2,away
867970,39,2022,546,S. Attwell,63,49,2022-08-21T07:00:00-06:00,America/Costa_Rica,2,0,home,3,0,home
867973,39,2022,562,J. Gillett,34,50,2022-08-21T09:30:00-06:00,America/Costa_Rica,2,1,home,3,3,tie
867972,39,2022,556,M. Oliver,33,40,2022-08-22T13:00:00-06:00,America/Costa_Rica,1,0,home,2,1,home
867984,39,2022,585,A. Madley,41,33,2022-08-27T05:30:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
867981,39,2022,550,S. Attwell,40,35,2022-08-27T08:00:00-06:00,America/Costa_Rica,5,0,home,9,0,home
867980,39,2022,519,P. Tierney,49,46,2022-08-27T08:00:00-06:00,America/Costa_Rica,0,0,tie,2,1,home
867982,39,2022,555,D. England,50,52,2022-08-27T08:00:00-06:00,America/Costa_Rica,0,2,away,4,2,home
867979,39,2022,508,M. Salisbury,51,63,2022-08-27T08:00:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
867978,39,2022,10503,J. Brooks,55,45,2022-08-27T08:00:00-06:00,America/Costa_Rica,0,1,away,1,1,tie
867976,39,2022,494,J. Gillett,42,36,2022-08-27T10:30:00-06:00,America/Costa_Rica,0,0,tie,2,1,home
867985,39,2022,600,P. Bankes,39,34,2022-08-28T07:00:00-06:00,America/Costa_Rica,1,0,home,1,1,tie
867977,39,2022,495,D. Coote,66,48,2022-08-28T07:00:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
867983,39,2022,566,C. Pawson,65,47,2022-08-28T09:30:00-06:00,America/Costa_Rica,0,1,away,0,2,away
867988,39,2022,535,T. Bramall,36,51,2022-08-30T12:30:00-06:00,America/Costa_Rica,0,0,tie,2,1,home
867992,39,2022,525,S. Hooper,52,55,2022-08-30T12:30:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
867993,39,2022,585,M. Oliver,41,49,2022-08-30T12:45:00-06:00,America/Costa_Rica,2,1,home,2,1,home
867989,39,2022,546,D. England,63,45,2022-08-30T13:00:00-06:00,America/Costa_Rica,0,1,away,1,1,tie
867986,39,2022,504,A. Taylor,35,39,2022-08-31T12:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
867987,39,2022,494,R. Jones,42,66,2022-08-31T12:30:00-06:00,America/Costa_Rica,1,0,home,2,1,home
867995,39,2022,555,P. Tierney,50,65,2022-08-31T12:30:00-06:00,America/Costa_Rica,3,0,home,6,0,home
867991,39,2022,598,P. Bankes,48,47,2022-08-31T12:45:00-06:00,America/Costa_Rica,0,1,away,1,1,tie
