id,league,season,venue,referee,home_team,away_team,date,timezone,half_time_score_home,half_time_score_away,half_time_winner,full_time_score_home,full_time_score_away,full_time_winner
871164,78,2022,10491,D. Aytekin,169,157,2022-08-05T12:30:00-06:00,America/Costa_Rica,0,5,away,1,6,away
871169,78,2022,752,S. Stegemann,161,162,2022-08-06T07:30:00-06:00,America/Costa_Rica,1,2,away,2,2,tie
871168,78,2022,703,D. Siebert,163,167,2022-08-06T07:30:00-06:00,America/Costa_Rica,1,1,tie,3,1,home
871171,78,2022,698,B. Dankert,170,160,2022-08-06T07:30:00-06:00,America/Costa_Rica,0,0,tie,0,4,away
871170,78,2022,751,F. Zwayer,176,164,2022-08-06T07:30:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
871166,78,2022,748,M. Fritz,182,159,2022-08-06T07:30:00-06:00,America/Costa_Rica,1,0,home,3,1,home
871165,78,2022,19381,F. Brych,165,168,2022-08-06T10:30:00-06:00,America/Costa_Rica,1,0,home,1,0,home
871172,78,2022,750,T. Stieler,172,173,2022-08-07T07:30:00-06:00,America/Costa_Rica,1,1,tie,1,1,tie
871167,78,2022,731,R. Schröder,192,174,2022-08-07T09:30:00-06:00,America/Costa_Rica,0,0,tie,3,1,home
871176,78,2022,12717,T. Welz,160,165,2022-08-12T12:30:00-06:00,America/Costa_Rica,1,0,home,1,3,away
871179,78,2022,694,F. Willenborg,159,169,2022-08-13T07:30:00-06:00,America/Costa_Rica,1,0,home,1,1,tie
871181,78,2022,755,R. Hartmann,162,172,2022-08-13T07:30:00-06:00,America/Costa_Rica,1,1,tie,2,2,tie
871178,78,2022,724,P. Ittrich,167,176,2022-08-13T07:30:00-06:00,America/Costa_Rica,2,2,tie,3,2,home
871174,78,2022,699,B. Cortus,168,170,2022-08-13T07:30:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
871175,78,2022,738,B. Brand,173,192,2022-08-13T07:30:00-06:00,America/Costa_Rica,1,1,tie,2,2,tie
871180,78,2022,741,S. Jablonski,174,163,2022-08-13T10:30:00-06:00,America/Costa_Rica,1,0,home,2,2,tie
871177,78,2022,11899,D. Schlager,164,182,2022-08-14T07:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
871173,78,2022,700,H. Osmers,157,161,2022-08-14T09:30:00-06:00,America/Costa_Rica,2,0,home,2,0,home
871185,78,2022,703,M. Jöllenbeck,163,159,2022-08-19T12:30:00-06:00,America/Costa_Rica,1,0,home,1,0,home
871187,78,2022,752,F. Zwayer,161,174,2022-08-20T07:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
871182,78,2022,19381,F. Badstübner,165,162,2022-08-20T07:30:00-06:00,America/Costa_Rica,1,0,home,2,3,away
871183,78,2022,699,T. Reichel,168,167,2022-08-20T07:30:00-06:00,America/Costa_Rica,0,2,away,0,3,away
871189,78,2022,698,S. Stegemann,170,164,2022-08-20T07:30:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
871190,78,2022,750,F. Brych,172,160,2022-08-20T07:30:00-06:00,America/Costa_Rica,0,1,away,0,1,away
871184,78,2022,748,D. Aytekin,182,173,2022-08-20T10:30:00-06:00,America/Costa_Rica,2,0,home,2,1,home
