id,league,season,venue,referee,home_team,away_team,date,timezone,half_time_score_home,half_time_score_away,half_time_winner,full_time_score_home,full_time_score_away,full_time_winner
710556,39,2021,10503,M. Oliver,55,42,2021-08-13T13:00:00-06:00,America/Costa_Rica,1,0,home,2,0,home
710561,39,2021,556,P. Tierney,33,63,2021-08-14T05:30:00-06:00,America/Costa_Rica,1,0,home,5,1,home
710565,39,2021,596,M. Dean,38,66,2021-08-14T08:00:00-06:00,America/Costa_Rica,2,0,home,3,2,home
710557,39,2021,512,D. Coote,44,51,2021-08-14T08:00:00-06:00,America/Costa_Rica,1,0,home,1,2,away
710559,39,2021,8560,A. Madley,45,41,2021-08-14T08:00:00-06:00,America/Costa_Rica,0,1,away,3,1,home
710560,39,2021,547,C. Pawson,46,39,2021-08-14T08:00:00-06:00,America/Costa_Rica,1,0,home,1,0,home
710558,39,2021,519,J. Moss,49,52,2021-08-14T08:00:00-06:00,America/Costa_Rica,2,0,home,3,0,home
710563,39,2021,565,A. Marriner,71,40,2021-08-14T10:30:00-06:00,America/Costa_Rica,0,1,away,0,3,away
710562,39,2021,562,M. Atkinson,34,48,2021-08-15T07:00:00-06:00,America/Costa_Rica,2,1,home,2,4,away
710564,39,2021,593,A. Taylor,47,50,2021-08-15T09:30:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
710571,39,2021,550,M. Dean,40,44,2021-08-21T05:30:00-06:00,America/Costa_Rica,1,0,home,2,0,home
710572,39,2021,555,G. Scott,50,71,2021-08-21T08:00:00-06:00,America/Costa_Rica,2,0,home,5,0,home
710569,39,2021,525,M. Atkinson,52,55,2021-08-21T08:00:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
710570,39,2021,546,D. England,63,45,2021-08-21T08:00:00-06:00,America/Costa_Rica,1,1,tie,2,2,tie
710567,39,2021,495,D. Coote,66,34,2021-08-21T08:00:00-06:00,America/Costa_Rica,1,0,home,2,0,home
710568,39,2021,508,A. Taylor,51,38,2021-08-21T10:30:00-06:00,America/Costa_Rica,2,0,home,2,0,home
710575,39,2021,600,S. Attwell,39,47,2021-08-22T07:00:00-06:00,America/Costa_Rica,0,1,away,0,1,away
710573,39,2021,585,C. Pawson,41,33,2021-08-22T07:00:00-06:00,America/Costa_Rica,1,0,home,1,1,tie
710566,39,2021,494,P. Tierney,42,49,2021-08-22T09:30:00-06:00,America/Costa_Rica,0,2,away,0,2,away
710574,39,2021,598,M. Oliver,48,46,2021-08-23T13:00:00-06:00,America/Costa_Rica,1,0,home,4,1,home
710580,39,2021,555,M. Atkinson,50,42,2021-08-28T05:30:00-06:00,America/Costa_Rica,3,0,home,5,0,home
710581,39,2021,562,P. Tierney,34,41,2021-08-28T08:00:00-06:00,America/Costa_Rica,0,0,tie,2,2,tie
710584,39,2021,598,S. Attwell,48,52,2021-08-28T08:00:00-06:00,America/Costa_Rica,1,0,home,2,2,tie
710577,39,2021,508,J. Moss,51,45,2021-08-28T08:00:00-06:00,America/Costa_Rica,0,1,away,0,2,away
710576,39,2021,495,P. Bankes,66,55,2021-08-28T08:00:00-06:00,America/Costa_Rica,1,1,tie,1,1,tie
710582,39,2021,565,R. Jones,71,46,2021-08-28T08:00:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
710579,39,2021,550,A. Taylor,40,49,2021-08-28T10:30:00-06:00,America/Costa_Rica,1,1,tie,1,1,tie
710578,39,2021,512,M. Oliver,44,63,2021-08-29T07:00:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
710583,39,2021,593,A. Marriner,47,38,2021-08-29T07:00:00-06:00,America/Costa_Rica,1,0,home,1,0,home
710585,39,2021,600,M. Dean,39,33,2021-08-29T09:30:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
710589,39,2021,525,J. Moss,52,47,2021-09-11T05:30:00-06:00,America/Costa_Rica,0,0,tie,3,0,home
710593,39,2021,556,A. Taylor,33,34,2021-09-11T08:00:00-06:00,America/Costa_Rica,1,0,home,4,1,home
